FSFA_Diffusion_Pre_nondev_010
Sample31
GC / MS DATA FILE
9/22/2011 9:04:00 AM

Young-Mo Kim
GCMSD_1
SpectrumDescription	Minutes	BPI	TIC
SpectrumIndex 2589 at 13.58 minutes; base peak 958.05 m/z with intensity 1660; TIC = 15067	13.58	1660	15067
SpectrumIndex 2590 at 13.59 minutes; base peak 953.95 m/z with intensity 1978; TIC = 19837	13.59	1978	19837
SpectrumIndex 2591 at 13.59 minutes; base peak 954.5 m/z with intensity 2496; TIC = 19347	13.59	2496	19347
SpectrumIndex 2592 at 13.59 minutes; base peak 957.7 m/z with intensity 1696; TIC = 14081	13.59	1696	14081
SpectrumIndex 2593 at 13.60 minutes; base peak 958.05 m/z with intensity 1420; TIC = 13425	13.60	1420	13425
SpectrumIndex 2594 at 13.60 minutes; base peak 957.4 m/z with intensity 1376; TIC = 11989	13.60	1376	11989
SpectrumIndex 2595 at 13.60 minutes; base peak 958.2 m/z with intensity 1940; TIC = 14007	13.60	1940	14007
SpectrumIndex 2596 at 13.60 minutes; base peak 955.55 m/z with intensity 1938; TIC = 12187	13.60	1938	12187
SpectrumIndex 2597 at 13.61 minutes; base peak 956.05 m/z with intensity 1942; TIC = 15125	13.61	1942	15125
SpectrumIndex 2598 at 13.61 minutes; base peak 957.85 m/z with intensity 1454; TIC = 14005	13.61	1454	14005
SpectrumIndex 2599 at 13.61 minutes; base peak 953.35 m/z with intensity 1938; TIC = 13451	13.61	1938	13451
SpectrumIndex 2600 at 13.62 minutes; base peak 957.5 m/z with intensity 1778; TIC = 12607	13.62	1778	12607
SpectrumIndex 2601 at 13.62 minutes; base peak 956.8 m/z with intensity 1902; TIC = 12597	13.62	1902	12597
SpectrumIndex 2602 at 13.62 minutes; base peak 957.15 m/z with intensity 1936; TIC = 15303	13.62	1936	15303
SpectrumIndex 2603 at 13.62 minutes; base peak 953.5 m/z with intensity 1138; TIC = 9129	13.62	1138	9129
SpectrumIndex 2604 at 13.63 minutes; base peak 956.75 m/z with intensity 1896; TIC = 13931	13.63	1896	13931
SpectrumIndex 2605 at 13.63 minutes; base peak 960.35 m/z with intensity 1918; TIC = 13943	13.63	1918	13943
SpectrumIndex 2606 at 13.63 minutes; base peak 959.45 m/z with intensity 1940; TIC = 21391	13.63	1940	21391
SpectrumIndex 2607 at 13.64 minutes; base peak 956.95 m/z with intensity 1918; TIC = 20037	13.64	1918	20037
SpectrumIndex 2608 at 13.64 minutes; base peak 966.65 m/z with intensity 1898; TIC = 20123	13.64	1898	20123
SpectrumIndex 2609 at 13.64 minutes; base peak 958.05 m/z with intensity 1898; TIC = 16521	13.64	1898	16521
SpectrumIndex 2610 at 13.65 minutes; base peak 960 m/z with intensity 1898; TIC = 20639	13.65	1898	20639
SpectrumIndex 2611 at 13.65 minutes; base peak 958.5 m/z with intensity 1900; TIC = 20609	13.65	1900	20609
SpectrumIndex 2612 at 13.65 minutes; base peak 959.65 m/z with intensity 1976; TIC = 20505	13.65	1976	20505
SpectrumIndex 2613 at 13.65 minutes; base peak 963.05 m/z with intensity 1778; TIC = 19803	13.65	1778	19803
SpectrumIndex 2614 at 13.66 minutes; base peak 953.45 m/z with intensity 1898; TIC = 18807	13.66	1898	18807
SpectrumIndex 2615 at 13.66 minutes; base peak 958.1 m/z with intensity 1976; TIC = 23235	13.66	1976	23235
SpectrumIndex 2616 at 13.66 minutes; base peak 957.55 m/z with intensity 1920; TIC = 15885	13.66	1920	15885
SpectrumIndex 2617 at 13.67 minutes; base peak 952.4 m/z with intensity 1940; TIC = 18507	13.67	1940	18507
SpectrumIndex 2618 at 13.67 minutes; base peak 962.35 m/z with intensity 1898; TIC = 16149	13.67	1898	16149
SpectrumIndex 2619 at 13.67 minutes; base peak 957.6 m/z with intensity 1698; TIC = 13405	13.67	1698	13405
SpectrumIndex 2620 at 13.67 minutes; base peak 955.35 m/z with intensity 1938; TIC = 17227	13.67	1938	17227
SpectrumIndex 2621 at 13.68 minutes; base peak 958.8 m/z with intensity 1700; TIC = 15363	13.68	1700	15363
SpectrumIndex 2622 at 13.68 minutes; base peak 958.55 m/z with intensity 1938; TIC = 18133	13.68	1938	18133
SpectrumIndex 2623 at 13.68 minutes; base peak 954.55 m/z with intensity 1938; TIC = 18099	13.68	1938	18099
SpectrumIndex 2624 at 13.69 minutes; base peak 958.45 m/z with intensity 1938; TIC = 19055	13.69	1938	19055
SpectrumIndex 2625 at 13.69 minutes; base peak 959.45 m/z with intensity 1700; TIC = 20527	13.69	1700	20527
SpectrumIndex 2626 at 13.69 minutes; base peak 961.15 m/z with intensity 1700; TIC = 13069	13.69	1700	13069
SpectrumIndex 2627 at 13.69 minutes; base peak 960.05 m/z with intensity 1696; TIC = 14293	13.69	1696	14293
SpectrumIndex 2628 at 13.70 minutes; base peak 954.4 m/z with intensity 2096; TIC = 17321	13.70	2096	17321
SpectrumIndex 2629 at 13.70 minutes; base peak 963 m/z with intensity 2258; TIC = 19483	13.70	2258	19483
SpectrumIndex 2630 at 13.70 minutes; base peak 965.05 m/z with intensity 2496; TIC = 19143	13.70	2496	19143
SpectrumIndex 2631 at 13.71 minutes; base peak 956.2 m/z with intensity 1936; TIC = 15071	13.71	1936	15071
SpectrumIndex 2632 at 13.71 minutes; base peak 959.9 m/z with intensity 1916; TIC = 16725	13.71	1916	16725
SpectrumIndex 2633 at 13.71 minutes; base peak 958.75 m/z with intensity 1938; TIC = 18105	13.71	1938	18105
SpectrumIndex 2634 at 13.71 minutes; base peak 956.35 m/z with intensity 2256; TIC = 17263	13.71	2256	17263
SpectrumIndex 2635 at 13.72 minutes; base peak 961.3 m/z with intensity 1942; TIC = 16467	13.72	1942	16467
SpectrumIndex 2636 at 13.72 minutes; base peak 958.8 m/z with intensity 1938; TIC = 15647	13.72	1938	15647
SpectrumIndex 2637 at 13.72 minutes; base peak 949.15 m/z with intensity 1982; TIC = 18189	13.72	1982	18189
SpectrumIndex 2638 at 13.73 minutes; base peak 959.7 m/z with intensity 1778; TIC = 13615	13.73	1778	13615
SpectrumIndex 2639 at 13.73 minutes; base peak 953.25 m/z with intensity 1698; TIC = 14529	13.73	1698	14529
SpectrumIndex 2640 at 13.73 minutes; base peak 955.95 m/z with intensity 1940; TIC = 15663	13.73	1940	15663
SpectrumIndex 2641 at 13.73 minutes; base peak 959.7 m/z with intensity 1420; TIC = 10029	13.73	1420	10029
SpectrumIndex 2642 at 13.74 minutes; base peak 959.95 m/z with intensity 2500; TIC = 15601	13.74	2500	15601
SpectrumIndex 2643 at 13.74 minutes; base peak 957.25 m/z with intensity 2500; TIC = 12031	13.74	2500	12031
SpectrumIndex 2644 at 13.74 minutes; base peak 955.75 m/z with intensity 1980; TIC = 12787	13.74	1980	12787
SpectrumIndex 2645 at 13.75 minutes; base peak 961.1 m/z with intensity 1696; TIC = 15641	13.75	1696	15641
SpectrumIndex 2646 at 13.75 minutes; base peak 960.15 m/z with intensity 1976; TIC = 15385	13.75	1976	15385
SpectrumIndex 2647 at 13.75 minutes; base peak 965.45 m/z with intensity 1938; TIC = 15937	13.75	1938	15937
SpectrumIndex 2648 at 13.76 minutes; base peak 958.4 m/z with intensity 1938; TIC = 15325	13.76	1938	15325
SpectrumIndex 2649 at 13.76 minutes; base peak 958.2 m/z with intensity 1978; TIC = 20917	13.76	1978	20917
SpectrumIndex 2650 at 13.76 minutes; base peak 955.55 m/z with intensity 2216; TIC = 19791	13.76	2216	19791
SpectrumIndex 2651 at 13.76 minutes; base peak 958.35 m/z with intensity 1698; TIC = 15303	13.76	1698	15303
SpectrumIndex 2652 at 13.77 minutes; base peak 960.3 m/z with intensity 1700; TIC = 10911	13.77	1700	10911
SpectrumIndex 2653 at 13.77 minutes; base peak 958.75 m/z with intensity 2218; TIC = 18425	13.77	2218	18425
SpectrumIndex 2654 at 13.77 minutes; base peak 955.55 m/z with intensity 1818; TIC = 15329	13.77	1818	15329
SpectrumIndex 2655 at 13.78 minutes; base peak 954.35 m/z with intensity 2740; TIC = 18929	13.78	2740	18929
SpectrumIndex 2656 at 13.78 minutes; base peak 966.25 m/z with intensity 1456; TIC = 13067	13.78	1456	13067
SpectrumIndex 2657 at 13.78 minutes; base peak 960.8 m/z with intensity 1940; TIC = 13439	13.78	1940	13439
SpectrumIndex 2658 at 13.78 minutes; base peak 964.4 m/z with intensity 1698; TIC = 14439	13.78	1698	14439
SpectrumIndex 2659 at 13.79 minutes; base peak 958.15 m/z with intensity 2736; TIC = 15289	13.79	2736	15289
SpectrumIndex 2660 at 13.79 minutes; base peak 952 m/z with intensity 1822; TIC = 18099	13.79	1822	18099
SpectrumIndex 2661 at 13.79 minutes; base peak 964.2 m/z with intensity 1700; TIC = 14441	13.79	1700	14441
SpectrumIndex 2662 at 13.80 minutes; base peak 961.15 m/z with intensity 2738; TIC = 13049	13.80	2738	13049
SpectrumIndex 2663 at 13.80 minutes; base peak 960.95 m/z with intensity 1658; TIC = 12293	13.80	1658	12293
SpectrumIndex 2664 at 13.80 minutes; base peak 961.3 m/z with intensity 1698; TIC = 15441	13.80	1698	15441
SpectrumIndex 2665 at 13.80 minutes; base peak 959.45 m/z with intensity 1776; TIC = 14767	13.80	1776	14767
SpectrumIndex 2666 at 13.81 minutes; base peak 957.45 m/z with intensity 1898; TIC = 13983	13.81	1898	13983
SpectrumIndex 2667 at 13.81 minutes; base peak 959.65 m/z with intensity 1678; TIC = 14681	13.81	1678	14681
SpectrumIndex 2668 at 13.81 minutes; base peak 954.5 m/z with intensity 1738; TIC = 16061	13.81	1738	16061
SpectrumIndex 2669 at 13.82 minutes; base peak 958.35 m/z with intensity 1736; TIC = 18021	13.82	1736	18021
SpectrumIndex 2670 at 13.82 minutes; base peak 965.85 m/z with intensity 1776; TIC = 21661	13.82	1776	21661
SpectrumIndex 2671 at 13.82 minutes; base peak 953.3 m/z with intensity 2738; TIC = 21875	13.82	2738	21875
SpectrumIndex 2672 at 13.82 minutes; base peak 957.55 m/z with intensity 1898; TIC = 14065	13.82	1898	14065
SpectrumIndex 2673 at 13.83 minutes; base peak 957.95 m/z with intensity 2218; TIC = 14641	13.83	2218	14641
SpectrumIndex 2674 at 13.83 minutes; base peak 962.35 m/z with intensity 1980; TIC = 18963	13.83	1980	18963
SpectrumIndex 2675 at 13.83 minutes; base peak 959.4 m/z with intensity 1738; TIC = 16439	13.83	1738	16439
SpectrumIndex 2676 at 13.84 minutes; base peak 960.35 m/z with intensity 1896; TIC = 17481	13.84	1896	17481
SpectrumIndex 2677 at 13.84 minutes; base peak 959.7 m/z with intensity 1936; TIC = 16703	13.84	1936	16703
SpectrumIndex 2678 at 13.84 minutes; base peak 964.45 m/z with intensity 1698; TIC = 13967	13.84	1698	13967
SpectrumIndex 2679 at 13.84 minutes; base peak 959.45 m/z with intensity 1698; TIC = 15123	13.84	1698	15123
SpectrumIndex 2680 at 13.85 minutes; base peak 959.35 m/z with intensity 1696; TIC = 16281	13.85	1696	16281
SpectrumIndex 2681 at 13.85 minutes; base peak 959.2 m/z with intensity 2498; TIC = 16183	13.85	2498	16183
SpectrumIndex 2682 at 13.85 minutes; base peak 966.3 m/z with intensity 2736; TIC = 28645	13.85	2736	28645
SpectrumIndex 2683 at 13.86 minutes; base peak 955.55 m/z with intensity 2258; TIC = 25131	13.86	2258	25131
SpectrumIndex 2684 at 13.86 minutes; base peak 968.4 m/z with intensity 2738; TIC = 28791	13.86	2738	28791
SpectrumIndex 2685 at 13.86 minutes; base peak 966.85 m/z with intensity 9968; TIC = 29279	13.86	9968	29279
SpectrumIndex 2686 at 13.87 minutes; base peak 960.85 m/z with intensity 1980; TIC = 24041	13.87	1980	24041
SpectrumIndex 2687 at 13.87 minutes; base peak 961.7 m/z with intensity 1978; TIC = 27193	13.87	1978	27193
SpectrumIndex 2688 at 13.87 minutes; base peak 961.45 m/z with intensity 2494; TIC = 29695	13.87	2494	29695
SpectrumIndex 2689 at 13.87 minutes; base peak 959.25 m/z with intensity 2256; TIC = 20991	13.87	2256	20991
SpectrumIndex 2690 at 13.88 minutes; base peak 958.35 m/z with intensity 1938; TIC = 15995	13.88	1938	15995
SpectrumIndex 2691 at 13.88 minutes; base peak 958.6 m/z with intensity 1896; TIC = 20207	13.88	1896	20207
SpectrumIndex 2692 at 13.88 minutes; base peak 960.2 m/z with intensity 1758; TIC = 19899	13.88	1758	19899
SpectrumIndex 2693 at 13.89 minutes; base peak 960 m/z with intensity 1698; TIC = 16787	13.89	1698	16787
SpectrumIndex 2694 at 13.89 minutes; base peak 961.5 m/z with intensity 1938; TIC = 21185	13.89	1938	21185
SpectrumIndex 2695 at 13.89 minutes; base peak 953.9 m/z with intensity 1936; TIC = 17031	13.89	1936	17031
SpectrumIndex 2696 at 13.89 minutes; base peak 961.15 m/z with intensity 1942; TIC = 16165	13.89	1942	16165
SpectrumIndex 2697 at 13.90 minutes; base peak 956.3 m/z with intensity 1418; TIC = 13151	13.90	1418	13151
SpectrumIndex 2698 at 13.90 minutes; base peak 958.8 m/z with intensity 2738; TIC = 11715	13.90	2738	11715
SpectrumIndex 2699 at 13.90 minutes; base peak 961 m/z with intensity 1936; TIC = 15349	13.90	1936	15349
SpectrumIndex 2700 at 13.91 minutes; base peak 959.55 m/z with intensity 1896; TIC = 13365	13.91	1896	13365
SpectrumIndex 2701 at 13.91 minutes; base peak 958.9 m/z with intensity 1938; TIC = 19427	13.91	1938	19427
SpectrumIndex 2702 at 13.91 minutes; base peak 962.05 m/z with intensity 1778; TIC = 16141	13.91	1778	16141
SpectrumIndex 2703 at 13.91 minutes; base peak 959.8 m/z with intensity 2740; TIC = 16041	13.91	2740	16041
SpectrumIndex 2704 at 13.92 minutes; base peak 959.9 m/z with intensity 2516; TIC = 19025	13.92	2516	19025
SpectrumIndex 2705 at 13.92 minutes; base peak 955.7 m/z with intensity 2518; TIC = 18451	13.92	2518	18451
SpectrumIndex 2706 at 13.92 minutes; base peak 964.9 m/z with intensity 1896; TIC = 16649	13.92	1896	16649
SpectrumIndex 2707 at 13.93 minutes; base peak 958.65 m/z with intensity 1698; TIC = 13947	13.93	1698	13947
SpectrumIndex 2708 at 13.93 minutes; base peak 958.5 m/z with intensity 1698; TIC = 15965	13.93	1698	15965
SpectrumIndex 2709 at 13.93 minutes; base peak 965.7 m/z with intensity 1700; TIC = 19333	13.93	1700	19333
SpectrumIndex 2710 at 13.93 minutes; base peak 959.95 m/z with intensity 1700; TIC = 14427	13.93	1700	14427
SpectrumIndex 2711 at 13.94 minutes; base peak 958.2 m/z with intensity 1698; TIC = 12287	13.94	1698	12287
SpectrumIndex 2712 at 13.94 minutes; base peak 956.25 m/z with intensity 1696; TIC = 15341	13.94	1696	15341
SpectrumIndex 2713 at 13.94 minutes; base peak 965.3 m/z with intensity 1938; TIC = 19619	13.94	1938	19619
SpectrumIndex 2714 at 13.95 minutes; base peak 962.6 m/z with intensity 1940; TIC = 19597	13.95	1940	19597
SpectrumIndex 2715 at 13.95 minutes; base peak 962.75 m/z with intensity 1940; TIC = 14619	13.95	1940	14619
SpectrumIndex 2716 at 13.95 minutes; base peak 961.5 m/z with intensity 1736; TIC = 19435	13.95	1736	19435
SpectrumIndex 2717 at 13.95 minutes; base peak 961.5 m/z with intensity 1936; TIC = 21255	13.95	1936	21255
SpectrumIndex 2718 at 13.96 minutes; base peak 958.1 m/z with intensity 1940; TIC = 15689	13.96	1940	15689
SpectrumIndex 2719 at 13.96 minutes; base peak 962.7 m/z with intensity 1936; TIC = 20535	13.96	1936	20535
SpectrumIndex 2720 at 13.96 minutes; base peak 957.2 m/z with intensity 1938; TIC = 14943	13.96	1938	14943
SpectrumIndex 2721 at 13.97 minutes; base peak 954.5 m/z with intensity 1400; TIC = 13029	13.97	1400	13029
SpectrumIndex 2722 at 13.97 minutes; base peak 960.45 m/z with intensity 1940; TIC = 21895	13.97	1940	21895
SpectrumIndex 2723 at 13.97 minutes; base peak 964.5 m/z with intensity 2218; TIC = 16715	13.97	2218	16715
SpectrumIndex 2724 at 13.98 minutes; base peak 959.85 m/z with intensity 1956; TIC = 16721	13.98	1956	16721
SpectrumIndex 2725 at 13.98 minutes; base peak 952.65 m/z with intensity 1658; TIC = 15035	13.98	1658	15035
SpectrumIndex 2726 at 13.98 minutes; base peak 957.4 m/z with intensity 1938; TIC = 15823	13.98	1938	15823
SpectrumIndex 2727 at 13.98 minutes; base peak 957.05 m/z with intensity 1700; TIC = 14223	13.98	1700	14223
SpectrumIndex 2728 at 13.99 minutes; base peak 963.9 m/z with intensity 1898; TIC = 19065	13.99	1898	19065
SpectrumIndex 2729 at 13.99 minutes; base peak 960.9 m/z with intensity 1898; TIC = 15945	13.99	1898	15945
SpectrumIndex 2730 at 13.99 minutes; base peak 970.85 m/z with intensity 1820; TIC = 14223	13.99	1820	14223
SpectrumIndex 2731 at 14.00 minutes; base peak 955.8 m/z with intensity 1660; TIC = 15247	14.00	1660	15247
SpectrumIndex 2732 at 14.00 minutes; base peak 958.35 m/z with intensity 1698; TIC = 13391	14.00	1698	13391
SpectrumIndex 2733 at 14.00 minutes; base peak 968.15 m/z with intensity 1698; TIC = 15003	14.00	1698	15003
SpectrumIndex 2734 at 14.00 minutes; base peak 955.45 m/z with intensity 1700; TIC = 14733	14.00	1700	14733
SpectrumIndex 2735 at 14.01 minutes; base peak 956.5 m/z with intensity 1898; TIC = 18377	14.01	1898	18377
SpectrumIndex 2736 at 14.01 minutes; base peak 959.6 m/z with intensity 1698; TIC = 13329	14.01	1698	13329
SpectrumIndex 2737 at 14.01 minutes; base peak 958.85 m/z with intensity 1700; TIC = 15007	14.01	1700	15007
SpectrumIndex 2738 at 14.02 minutes; base peak 959.45 m/z with intensity 1896; TIC = 15955	14.02	1896	15955
SpectrumIndex 2739 at 14.02 minutes; base peak 958.05 m/z with intensity 1896; TIC = 19035	14.02	1896	19035
SpectrumIndex 2740 at 14.02 minutes; base peak 966.65 m/z with intensity 1778; TIC = 16161	14.02	1778	16161
SpectrumIndex 2741 at 14.02 minutes; base peak 958.8 m/z with intensity 1418; TIC = 10815	14.02	1418	10815
SpectrumIndex 2742 at 14.03 minutes; base peak 957.5 m/z with intensity 1694; TIC = 13639	14.03	1694	13639
SpectrumIndex 2743 at 14.03 minutes; base peak 963.2 m/z with intensity 1898; TIC = 19695	14.03	1898	19695
SpectrumIndex 2744 at 14.03 minutes; base peak 965.9 m/z with intensity 1940; TIC = 15187	14.03	1940	15187
SpectrumIndex 2745 at 14.04 minutes; base peak 958.5 m/z with intensity 1418; TIC = 14271	14.04	1418	14271
SpectrumIndex 2746 at 14.04 minutes; base peak 960 m/z with intensity 1698; TIC = 12287	14.04	1698	12287
SpectrumIndex 2747 at 14.04 minutes; base peak 961.1 m/z with intensity 1918; TIC = 15063	14.04	1918	15063
SpectrumIndex 2748 at 14.04 minutes; base peak 958.45 m/z with intensity 1418; TIC = 11405	14.04	1418	11405
SpectrumIndex 2749 at 14.05 minutes; base peak 967 m/z with intensity 1698; TIC = 15365	14.05	1698	15365
SpectrumIndex 2750 at 14.05 minutes; base peak 960.05 m/z with intensity 1696; TIC = 13209	14.05	1696	13209
SpectrumIndex 2751 at 14.05 minutes; base peak 957.05 m/z with intensity 1698; TIC = 13127	14.05	1698	13127
SpectrumIndex 2752 at 14.06 minutes; base peak 961 m/z with intensity 1936; TIC = 18661	14.06	1936	18661
SpectrumIndex 2753 at 14.06 minutes; base peak 959 m/z with intensity 2502; TIC = 19251	14.06	2502	19251
SpectrumIndex 2754 at 14.06 minutes; base peak 961.25 m/z with intensity 1698; TIC = 11751	14.06	1698	11751
SpectrumIndex 2755 at 14.06 minutes; base peak 953.5 m/z with intensity 1938; TIC = 14585	14.06	1938	14585
SpectrumIndex 2756 at 14.07 minutes; base peak 960.65 m/z with intensity 1420; TIC = 14369	14.07	1420	14369
SpectrumIndex 2757 at 14.07 minutes; base peak 961.5 m/z with intensity 1700; TIC = 14441	14.07	1700	14441
SpectrumIndex 2758 at 14.07 minutes; base peak 960.95 m/z with intensity 1938; TIC = 13127	14.07	1938	13127
SpectrumIndex 2759 at 14.08 minutes; base peak 958.95 m/z with intensity 1698; TIC = 14641	14.08	1698	14641
SpectrumIndex 2760 at 14.08 minutes; base peak 959.05 m/z with intensity 1940; TIC = 21195	14.08	1940	21195
SpectrumIndex 2761 at 14.08 minutes; base peak 955.85 m/z with intensity 1700; TIC = 16731	14.08	1700	16731
SpectrumIndex 2762 at 14.09 minutes; base peak 961.8 m/z with intensity 1916; TIC = 21375	14.09	1916	21375
SpectrumIndex 2763 at 14.09 minutes; base peak 961.2 m/z with intensity 1698; TIC = 16965	14.09	1698	16965
SpectrumIndex 2764 at 14.09 minutes; base peak 958.9 m/z with intensity 1940; TIC = 24187	14.09	1940	24187
SpectrumIndex 2765 at 14.09 minutes; base peak 961.7 m/z with intensity 1700; TIC = 17787	14.09	1700	17787
SpectrumIndex 2766 at 14.10 minutes; base peak 963.85 m/z with intensity 1698; TIC = 15903	14.10	1698	15903
SpectrumIndex 2767 at 14.10 minutes; base peak 962.15 m/z with intensity 2498; TIC = 17061	14.10	2498	17061
SpectrumIndex 2768 at 14.10 minutes; base peak 962.5 m/z with intensity 1976; TIC = 20231	14.10	1976	20231
SpectrumIndex 2769 at 14.11 minutes; base peak 955.8 m/z with intensity 1978; TIC = 27421	14.11	1978	27421
SpectrumIndex 2770 at 14.11 minutes; base peak 959.35 m/z with intensity 2258; TIC = 26971	14.11	2258	26971
SpectrumIndex 2771 at 14.11 minutes; base peak 963.9 m/z with intensity 2180; TIC = 29311	14.11	2180	29311
SpectrumIndex 2772 at 14.11 minutes; base peak 964.2 m/z with intensity 1976; TIC = 25529	14.11	1976	25529
SpectrumIndex 2773 at 14.12 minutes; base peak 956.95 m/z with intensity 3234; TIC = 26223	14.12	3234	26223
SpectrumIndex 2774 at 14.12 minutes; base peak 965.6 m/z with intensity 2498; TIC = 26541	14.12	2498	26541
SpectrumIndex 2775 at 14.12 minutes; base peak 956.05 m/z with intensity 2734; TIC = 25847	14.12	2734	25847
SpectrumIndex 2776 at 14.13 minutes; base peak 956.4 m/z with intensity 1940; TIC = 18635	14.13	1940	18635
SpectrumIndex 2777 at 14.13 minutes; base peak 962.15 m/z with intensity 2256; TIC = 19623	14.13	2256	19623
SpectrumIndex 2778 at 14.13 minutes; base peak 957.95 m/z with intensity 2218; TIC = 18067	14.13	2218	18067
SpectrumIndex 2779 at 14.13 minutes; base peak 956.1 m/z with intensity 1776; TIC = 19275	14.13	1776	19275
SpectrumIndex 2780 at 14.14 minutes; base peak 960.1 m/z with intensity 1936; TIC = 20017	14.14	1936	20017
SpectrumIndex 2781 at 14.14 minutes; base peak 956.5 m/z with intensity 1658; TIC = 13933	14.14	1658	13933
SpectrumIndex 2782 at 14.14 minutes; base peak 966.1 m/z with intensity 2738; TIC = 15573	14.14	2738	15573
SpectrumIndex 2783 at 14.15 minutes; base peak 961.45 m/z with intensity 1718; TIC = 17995	14.15	1718	17995
SpectrumIndex 2784 at 14.15 minutes; base peak 957.25 m/z with intensity 1698; TIC = 19469	14.15	1698	19469
SpectrumIndex 2785 at 14.15 minutes; base peak 959.6 m/z with intensity 1696; TIC = 16479	14.15	1696	16479
SpectrumIndex 2786 at 14.15 minutes; base peak 955.6 m/z with intensity 1898; TIC = 19219	14.15	1898	19219
SpectrumIndex 2787 at 14.16 minutes; base peak 959 m/z with intensity 1936; TIC = 15607	14.16	1936	15607
SpectrumIndex 2788 at 14.16 minutes; base peak 960.7 m/z with intensity 1816; TIC = 17851	14.16	1816	17851
SpectrumIndex 2789 at 14.16 minutes; base peak 953.25 m/z with intensity 2216; TIC = 18831	14.16	2216	18831
SpectrumIndex 2790 at 14.17 minutes; base peak 966.6 m/z with intensity 1916; TIC = 15367	14.17	1916	15367
SpectrumIndex 2791 at 14.17 minutes; base peak 958 m/z with intensity 2260; TIC = 16153	14.17	2260	16153
SpectrumIndex 2792 at 14.17 minutes; base peak 959.4 m/z with intensity 2258; TIC = 17481	14.17	2258	17481
SpectrumIndex 2793 at 14.17 minutes; base peak 958.4 m/z with intensity 2256; TIC = 16309	14.17	2256	16309
SpectrumIndex 2794 at 14.18 minutes; base peak 962.75 m/z with intensity 1700; TIC = 17973	14.18	1700	17973
SpectrumIndex 2795 at 14.18 minutes; base peak 955.8 m/z with intensity 1618; TIC = 15503	14.18	1618	15503
SpectrumIndex 2796 at 14.18 minutes; base peak 958.95 m/z with intensity 2778; TIC = 14623	14.18	2778	14623
SpectrumIndex 2797 at 14.19 minutes; base peak 959.9 m/z with intensity 1918; TIC = 19501	14.19	1918	19501
SpectrumIndex 2798 at 14.19 minutes; base peak 961.95 m/z with intensity 1938; TIC = 15247	14.19	1938	15247
SpectrumIndex 2799 at 14.19 minutes; base peak 952.9 m/z with intensity 1818; TIC = 14281	14.19	1818	14281
SpectrumIndex 2800 at 14.20 minutes; base peak 960.2 m/z with intensity 1656; TIC = 13065	14.20	1656	13065
SpectrumIndex 2801 at 14.20 minutes; base peak 959.4 m/z with intensity 1498; TIC = 16943	14.20	1498	16943
SpectrumIndex 2802 at 14.20 minutes; base peak 962.95 m/z with intensity 1916; TIC = 17143	14.20	1916	17143
SpectrumIndex 2803 at 14.20 minutes; base peak 963.1 m/z with intensity 1418; TIC = 13341	14.20	1418	13341
SpectrumIndex 2804 at 14.21 minutes; base peak 957.45 m/z with intensity 1920; TIC = 17585	14.21	1920	17585
SpectrumIndex 2805 at 14.21 minutes; base peak 959.65 m/z with intensity 1658; TIC = 10869	14.21	1658	10869
SpectrumIndex 2806 at 14.21 minutes; base peak 961.5 m/z with intensity 1936; TIC = 16865	14.21	1936	16865
SpectrumIndex 2807 at 14.22 minutes; base peak 960.35 m/z with intensity 1938; TIC = 16625	14.22	1938	16625
SpectrumIndex 2808 at 14.22 minutes; base peak 957.85 m/z with intensity 1418; TIC = 14385	14.22	1418	14385
SpectrumIndex 2809 at 14.22 minutes; base peak 957.55 m/z with intensity 2738; TIC = 16701	14.22	2738	16701
SpectrumIndex 2810 at 14.22 minutes; base peak 961.2 m/z with intensity 1940; TIC = 13091	14.22	1940	13091
SpectrumIndex 2811 at 14.23 minutes; base peak 963.05 m/z with intensity 1696; TIC = 13027	14.23	1696	13027
SpectrumIndex 2812 at 14.23 minutes; base peak 961.45 m/z with intensity 1662; TIC = 12293	14.23	1662	12293
SpectrumIndex 2813 at 14.23 minutes; base peak 962.25 m/z with intensity 2740; TIC = 20193	14.23	2740	20193
SpectrumIndex 2814 at 14.24 minutes; base peak 962.45 m/z with intensity 1936; TIC = 16467	14.24	1936	16467
SpectrumIndex 2815 at 14.24 minutes; base peak 963 m/z with intensity 1918; TIC = 13903	14.24	1918	13903
SpectrumIndex 2816 at 14.24 minutes; base peak 963.45 m/z with intensity 1698; TIC = 13665	14.24	1698	13665
SpectrumIndex 2817 at 14.24 minutes; base peak 962.8 m/z with intensity 1778; TIC = 18255	14.24	1778	18255
SpectrumIndex 2818 at 14.25 minutes; base peak 957.9 m/z with intensity 1936; TIC = 17801	14.25	1936	17801
SpectrumIndex 2819 at 14.25 minutes; base peak 955.6 m/z with intensity 1696; TIC = 15951	14.25	1696	15951
SpectrumIndex 2820 at 14.25 minutes; base peak 968.7 m/z with intensity 1736; TIC = 16443	14.25	1736	16443
SpectrumIndex 2821 at 14.26 minutes; base peak 952.1 m/z with intensity 1496; TIC = 12581	14.26	1496	12581
SpectrumIndex 2822 at 14.26 minutes; base peak 958.35 m/z with intensity 1938; TIC = 19085	14.26	1938	19085
SpectrumIndex 2823 at 14.26 minutes; base peak 962 m/z with intensity 1460; TIC = 13931	14.26	1460	13931
SpectrumIndex 2824 at 14.26 minutes; base peak 960.05 m/z with intensity 1738; TIC = 18395	14.26	1738	18395
