FSFA_Diffusion_Pre_nondev_010
Sample31
GC / MS DATA FILE
9/22/2011 9:04:00 AM

Young-Mo Kim
GCMSD_1
SpectrumDescription	Minutes	BPI	TIC
SpectrumIndex 129 at 6.46 minutes; base peak 956.1 m/z with intensity 1140; TIC = 6979	6.46	1140	6979
SpectrumIndex 130 at 6.47 minutes; base peak 961.75 m/z with intensity 900; TIC = 6373	6.47	900	6373
SpectrumIndex 131 at 6.47 minutes; base peak 959.25 m/z with intensity 898; TIC = 6083	6.47	898	6083
SpectrumIndex 132 at 6.47 minutes; base peak 954.5 m/z with intensity 1496; TIC = 8159	6.47	1496	8159
SpectrumIndex 133 at 6.47 minutes; base peak 958.15 m/z with intensity 898; TIC = 6081	6.47	898	6081
SpectrumIndex 134 at 6.48 minutes; base peak 950.9 m/z with intensity 1496; TIC = 6439	6.48	1496	6439
SpectrumIndex 135 at 6.48 minutes; base peak 955.3 m/z with intensity 1496; TIC = 6435	6.48	1496	6435
SpectrumIndex 136 at 6.48 minutes; base peak 952.25 m/z with intensity 1498; TIC = 7609	6.48	1498	7609
SpectrumIndex 137 at 6.49 minutes; base peak 958.75 m/z with intensity 1498; TIC = 9253	6.49	1498	9253
SpectrumIndex 138 at 6.49 minutes; base peak 949.5 m/z with intensity 1500; TIC = 6435	6.49	1500	6435
SpectrumIndex 139 at 6.49 minutes; base peak 961.6 m/z with intensity 1498; TIC = 6977	6.49	1498	6977
SpectrumIndex 140 at 6.50 minutes; base peak 952.4 m/z with intensity 898; TIC = 6895	6.50	898	6895
SpectrumIndex 141 at 6.50 minutes; base peak 955.35 m/z with intensity 1498; TIC = 6971	6.50	1498	6971
SpectrumIndex 142 at 6.50 minutes; base peak 959.35 m/z with intensity 1500; TIC = 6431	6.50	1500	6431
SpectrumIndex 143 at 6.50 minutes; base peak 957.9 m/z with intensity 898; TIC = 6919	6.50	898	6919
SpectrumIndex 144 at 6.51 minutes; base peak 955.5 m/z with intensity 896; TIC = 6357	6.51	896	6357
SpectrumIndex 145 at 6.51 minutes; base peak 947.9 m/z with intensity 900; TIC = 5539	6.51	900	5539
SpectrumIndex 146 at 6.51 minutes; base peak 949.2 m/z with intensity 898; TIC = 6077	6.51	898	6077
SpectrumIndex 147 at 6.52 minutes; base peak 954.15 m/z with intensity 898; TIC = 5541	6.52	898	5541
SpectrumIndex 148 at 6.52 minutes; base peak 952.8 m/z with intensity 900; TIC = 5539	6.52	900	5539
SpectrumIndex 149 at 6.52 minutes; base peak 958.7 m/z with intensity 898; TIC = 5535	6.52	898	5535
SpectrumIndex 150 at 6.52 minutes; base peak 953.95 m/z with intensity 898; TIC = 5539	6.52	898	5539
SpectrumIndex 151 at 6.53 minutes; base peak 955.55 m/z with intensity 898; TIC = 5539	6.53	898	5539
SpectrumIndex 152 at 6.53 minutes; base peak 957.45 m/z with intensity 898; TIC = 6901	6.53	898	6901
SpectrumIndex 153 at 6.53 minutes; base peak 957.7 m/z with intensity 1158; TIC = 6435	6.53	1158	6435
SpectrumIndex 154 at 6.54 minutes; base peak 953.55 m/z with intensity 896; TIC = 5541	6.54	896	5541
SpectrumIndex 155 at 6.54 minutes; base peak 959.1 m/z with intensity 898; TIC = 5535	6.54	898	5535
SpectrumIndex 156 at 6.54 minutes; base peak 959.6 m/z with intensity 898; TIC = 5541	6.54	898	5541
SpectrumIndex 157 at 6.54 minutes; base peak 951.9 m/z with intensity 898; TIC = 6077	6.54	898	6077
SpectrumIndex 158 at 6.55 minutes; base peak 956.7 m/z with intensity 900; TIC = 6357	6.55	900	6357
SpectrumIndex 159 at 6.55 minutes; base peak 955.7 m/z with intensity 898; TIC = 6357	6.55	898	6357
SpectrumIndex 160 at 6.55 minutes; base peak 958.85 m/z with intensity 898; TIC = 6373	6.55	898	6373
SpectrumIndex 161 at 6.56 minutes; base peak 966.3 m/z with intensity 898; TIC = 5537	6.56	898	5537
SpectrumIndex 162 at 6.56 minutes; base peak 956 m/z with intensity 898; TIC = 5537	6.56	898	5537
SpectrumIndex 163 at 6.56 minutes; base peak 953.85 m/z with intensity 1180; TIC = 7275	6.56	1180	7275
SpectrumIndex 164 at 6.56 minutes; base peak 956.15 m/z with intensity 1178; TIC = 6977	6.56	1178	6977
SpectrumIndex 165 at 6.57 minutes; base peak 957.8 m/z with intensity 1178; TIC = 7533	6.57	1178	7533
SpectrumIndex 166 at 6.57 minutes; base peak 958.65 m/z with intensity 1178; TIC = 6437	6.57	1178	6437
SpectrumIndex 167 at 6.57 minutes; base peak 952.2 m/z with intensity 1180; TIC = 6439	6.57	1180	6439
SpectrumIndex 168 at 6.58 minutes; base peak 959.9 m/z with intensity 1180; TIC = 6437	6.58	1180	6437
SpectrumIndex 169 at 6.58 minutes; base peak 954.85 m/z with intensity 1180; TIC = 7259	6.58	1180	7259
SpectrumIndex 170 at 6.58 minutes; base peak 960.3 m/z with intensity 1178; TIC = 7813	6.58	1178	7813
SpectrumIndex 171 at 6.58 minutes; base peak 950.15 m/z with intensity 1178; TIC = 6437	6.58	1178	6437
SpectrumIndex 172 at 6.59 minutes; base peak 955 m/z with intensity 1178; TIC = 7255	6.59	1178	7255
SpectrumIndex 173 at 6.59 minutes; base peak 958.55 m/z with intensity 1458; TIC = 7615	6.59	1458	7615
SpectrumIndex 174 at 6.59 minutes; base peak 955.5 m/z with intensity 1178; TIC = 6979	6.59	1178	6979
SpectrumIndex 175 at 6.60 minutes; base peak 954.95 m/z with intensity 1458; TIC = 8427	6.60	1458	8427
SpectrumIndex 176 at 6.60 minutes; base peak 952.25 m/z with intensity 1178; TIC = 7535	6.60	1178	7535
SpectrumIndex 177 at 6.60 minutes; base peak 958.2 m/z with intensity 1176; TIC = 6437	6.60	1176	6437
SpectrumIndex 178 at 6.61 minutes; base peak 963 m/z with intensity 1178; TIC = 7273	6.61	1178	7273
SpectrumIndex 179 at 6.61 minutes; base peak 957 m/z with intensity 1176; TIC = 7273	6.61	1176	7273
SpectrumIndex 180 at 6.61 minutes; base peak 948.35 m/z with intensity 1180; TIC = 7213	6.61	1180	7213
SpectrumIndex 181 at 6.61 minutes; base peak 960.15 m/z with intensity 1178; TIC = 7257	6.61	1178	7257
SpectrumIndex 182 at 6.62 minutes; base peak 961.25 m/z with intensity 1180; TIC = 7251	6.62	1180	7251
SpectrumIndex 183 at 6.62 minutes; base peak 960.5 m/z with intensity 1178; TIC = 6441	6.62	1178	6441
SpectrumIndex 184 at 6.62 minutes; base peak 956.35 m/z with intensity 898; TIC = 5539	6.62	898	5539
SpectrumIndex 185 at 6.63 minutes; base peak 961.3 m/z with intensity 1178; TIC = 8067	6.63	1178	8067
SpectrumIndex 186 at 6.63 minutes; base peak 954.9 m/z with intensity 898; TIC = 6893	6.63	898	6893
SpectrumIndex 187 at 6.63 minutes; base peak 958.3 m/z with intensity 1178; TIC = 7273	6.63	1178	7273
SpectrumIndex 188 at 6.63 minutes; base peak 955.55 m/z with intensity 1100; TIC = 6439	6.63	1100	6439
SpectrumIndex 189 at 6.64 minutes; base peak 952.3 m/z with intensity 898; TIC = 5539	6.64	898	5539
SpectrumIndex 190 at 6.64 minutes; base peak 954.75 m/z with intensity 1180; TIC = 7797	6.64	1180	7797
